file,interval,input_rows,output_rows,start,end,null_datetime_dropped,null_ohlc_dropped,nonpositive_ohlc_dropped,ohlc_repaired_rows,duplicate_timestamp_rows_collapsed,weekend_rows,off_regular_session_rows,trading_days,min_rows_per_day,median_rows_per_day,max_rows_per_day,partial_days_lt_90pct_expected,regular_slot_missing_days,missing_regular_slots,abs_return_gt_5pct,abs_return_gt_10pct
NIFTY FMCG_day.csv,day,2794,2790,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,1,4,11,0,2790,0,0.0,0,0,0,0,8,1
NIFTY FMCG_minute.csv,1min,1039081,1039077,2015-01-09 09:15:00,2026-04-08 15:29:00,0,0,0,0,4,2325,2697,2783,53,375.0,375,16,27,144,5,0
NIFTY GS COMPSITE_15minute.csv,15min,41773,41773,2015-11-09 09:15:00,2026-04-08 13:45:00,0,0,0,0,0,126,143,1680,4,25.0,25,13,9,11,1,1
NIFTY GS COMPSITE_30minute.csv,30min,21733,21733,2015-11-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,68,77,1680,2,13.0,13,12,1,1,1,1
NIFTY GS COMPSITE_5minute.csv,5min,124894,124894,2015-11-09 09:15:00,2026-04-08 12:05:00,0,0,0,0,0,373,424,1680,7,75.0,75,38,42,133,1,1
NIFTY GS COMPSITE_60minute.csv,60min,11704,11704,2015-11-09 09:15:00,2026-04-08 15:15:00,0,0,0,0,0,37,41,1680,1,7.0,7,12,0,0,1,1
NIFTY GS COMPSITE_day.csv,day,2053,2053,2015-11-09 00:00:00,2026-04-08 00:00:00,0,0,0,369,0,9,0,2053,0,0.0,0,0,0,0,2,2
NIFTY GS COMPSITE_minute.csv,1min,614145,614145,2015-11-09 09:15:00,2026-04-08 13:02:00,0,0,0,1,0,1837,2017,1680,7,375.0,375,96,12,26,1,1
NIFTY HEALTHCARE_15minute.csv,15min,22249,22249,2022-08-29 09:15:00,2026-04-08 13:45:00,0,0,0,0,0,93,101,895,4,25.0,25,7,0,0,0,0
NIFTY HEALTHCARE_30minute.csv,30min,11573,11573,2022-08-29 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,51,55,895,2,13.0,13,7,0,0,0,0
NIFTY HEALTHCARE_5minute.csv,5min,66725,66725,2022-08-29 09:15:00,2026-04-08 12:05:00,0,0,0,0,0,279,303,895,12,75.0,75,7,0,0,0,0
NIFTY HEALTHCARE_60minute.csv,60min,6233,6233,2022-08-29 09:15:00,2026-04-08 15:15:00,0,0,0,0,0,28,30,895,1,7.0,7,6,0,0,0,0
NIFTY HEALTHCARE_day.csv,day,2779,2779,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,0,11,0,2779,0,0.0,0,0,0,0,6,0
NIFTY HEALTHCARE_minute.csv,1min,333663,333663,2022-08-29 09:15:00,2026-04-08 13:06:00,0,0,0,0,0,1395,1515,895,60,375.0,375,7,6,19,0,0
NIFTY IND DIGITAL_15minute.csv,15min,22250,22250,2022-08-29 09:15:00,2026-04-08 14:00:00,0,0,0,0,0,93,101,895,4,25.0,25,7,0,0,0,0
NIFTY IND DIGITAL_30minute.csv,30min,11573,11573,2022-08-29 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,51,55,895,2,13.0,13,7,0,0,0,0
NIFTY IND DIGITAL_5minute.csv,5min,66727,66727,2022-08-29 09:15:00,2026-04-08 12:15:00,0,0,0,0,0,279,303,895,12,75.0,75,7,0,0,1,0
NIFTY IND DIGITAL_60minute.csv,60min,6233,6233,2022-08-29 09:15:00,2026-04-08 15:15:00,0,0,0,0,0,28,30,895,1,7.0,7,6,0,0,1,0
NIFTY IND DIGITAL_day.csv,day,2779,2779,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,0,11,0,2779,0,0.0,0,0,0,0,8,1
NIFTY IND DIGITAL_minute.csv,1min,333670,333670,2022-08-29 09:15:00,2026-04-08 13:13:00,0,0,0,0,0,1395,1515,895,60,375.0,375,7,6,19,1,0
NIFTY INDIA MFG_15minute.csv,15min,22250,22250,2022-08-29 09:15:00,2026-04-08 14:00:00,0,0,0,0,0,93,101,895,4,25.0,25,7,0,0,0,0
NIFTY INDIA MFG_30minute.csv,30min,11573,11573,2022-08-29 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,51,55,895,2,13.0,13,7,0,0,0,0
NIFTY INDIA MFG_5minute.csv,5min,66727,66727,2022-08-29 09:15:00,2026-04-08 12:15:00,0,0,0,0,0,279,303,895,12,75.0,75,7,0,0,1,0
NIFTY INDIA MFG_60minute.csv,60min,6233,6233,2022-08-29 09:15:00,2026-04-08 15:15:00,0,0,0,0,0,28,30,895,1,7.0,7,6,0,0,1,0
NIFTY INDIA MFG_day.csv,day,2779,2779,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,0,11,0,2779,0,0.0,0,0,0,0,8,1
NIFTY INDIA MFG_minute.csv,1min,333558,333558,2022-08-29 09:15:00,2026-04-08 11:22:00,0,0,0,0,0,1395,1515,895,60,375.0,375,7,7,20,1,0
NIFTY INFRA_15minute.csv,15min,69282,69282,2015-01-09 09:15:00,2026-04-08 13:30:00,0,0,0,0,0,155,185,2783,4,25.0,25,15,3,4,7,1
NIFTY INFRA_30minute.csv,30min,36034,36034,2015-01-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,84,101,2783,2,13.0,13,15,1,1,5,2
NIFTY INFRA_5minute.csv,5min,207800,207800,2015-01-09 09:15:00,2026-04-08 11:40:00,0,0,0,0,0,465,552,2783,9,75.0,75,16,7,21,5,0
NIFTY INFRA_60minute.csv,60min,19405,19405,2015-01-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,46,55,2783,1,7.0,7,15,0,0,6,2
NIFTY INFRA_day.csv,day,2737,2733,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,4,11,0,2733,0,0.0,0,0,0,0,14,2
NIFTY INFRA_minute.csv,1min,1038804,1038800,2015-01-09 09:15:00,2026-04-08 10:50:00,0,0,0,0,4,2325,2697,2783,53,375.0,375,17,26,142,6,0
NIFTY IT_15minute.csv,15min,69307,69307,2015-01-09 09:15:00,2026-04-08 13:30:00,0,0,0,0,0,155,185,2784,4,25.0,25,15,3,4,9,1
NIFTY IT_30minute.csv,30min,36047,36047,2015-01-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,84,101,2784,2,13.0,13,15,1,1,8,2
NIFTY IT_5minute.csv,5min,207875,207875,2015-01-09 09:15:00,2026-04-08 11:40:00,0,0,0,0,0,465,552,2784,9,75.0,75,16,7,21,9,1
NIFTY IT_60minute.csv,60min,19412,19412,2015-01-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,46,55,2784,1,7.0,7,15,0,0,8,2
NIFTY IT_day.csv,day,2795,2791,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,4,11,0,2791,0,0.0,0,0,0,0,16,0
NIFTY IT_minute.csv,1min,1039178,1039174,2015-01-09 09:15:00,2026-04-08 10:46:00,0,0,0,0,4,2325,2697,2784,54,375.0,375,17,25,140,9,0
NIFTY LARGEMID250_15minute.csv,15min,22249,22249,2022-08-29 09:15:00,2026-04-08 13:45:00,0,0,0,0,0,93,101,895,4,25.0,25,7,0,0,0,0
NIFTY LARGEMID250_30minute.csv,30min,11573,11573,2022-08-29 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,51,55,895,2,13.0,13,7,0,0,0,0
NIFTY LARGEMID250_5minute.csv,5min,66726,66726,2022-08-29 09:15:00,2026-04-08 12:10:00,0,0,0,0,0,279,303,895,12,75.0,75,7,0,0,1,0
NIFTY LARGEMID250_60minute.csv,60min,6233,6233,2022-08-29 09:15:00,2026-04-08 15:15:00,0,0,0,0,0,28,30,895,1,7.0,7,6,0,0,0,0
NIFTY LARGEMID250_day.csv,day,2777,2777,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,0,11,0,2777,0,0.0,0,0,0,0,8,1
NIFTY LARGEMID250_minute.csv,1min,333554,333554,2022-08-29 09:15:00,2026-04-08 11:18:00,0,0,0,0,0,1395,1515,895,60,375.0,375,7,7,20,0,0
