strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl,trade_count
ShortStraddle,2021-01-07,2021-01-01 09:20:00,2021-01-01 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14000CE@130.7,SELL:NIFTY_DHAN_14000PE@116.75",1615.0,126.97,1488.03,
ShortStraddle,2021-01-07,2021-01-04 09:20:00,2021-01-04 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14100CE@92.8,SELL:NIFTY_DHAN_14100PE@86.0",440.0,118.37,321.63,
ShortStraddle,2021-01-07,2021-01-05 09:20:00,2021-01-05 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14050CE@111.5,SELL:NIFTY_DHAN_14050PE@69.6",-1550.0,119.93,-1669.93,
ShortStraddle,2021-01-07,2021-01-06 09:20:00,2021-01-06 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14200CE@80.45,SELL:NIFTY_DHAN_14200PE@59.15",1117.5,112.64,1004.86,
ShortStraddle,2021-01-07,2021-01-07 09:20:00,2021-01-07 15:18:00,entry,stop_loss,"SELL:NIFTY_DHAN_14250CE@27.35,SELL:NIFTY_DHAN_14250PE@49.4",-1942.5,106.02,-2048.52,
ShortStraddle,2021-01-14,2021-01-08 09:20:00,2021-01-08 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14250CE@101.35,SELL:NIFTY_DHAN_14250PE@119.85",-1240.0,125.17,-1365.17,
ShortStraddle,2021-01-14,2021-01-11 09:20:00,2021-01-11 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14450CE@79.8,SELL:NIFTY_DHAN_14450PE@126.05",457.5,122.03,335.47,
ShortStraddle,2021-01-14,2021-01-12 09:20:00,2021-01-12 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14450CE@92.15,SELL:NIFTY_DHAN_14450PE@95.55",-452.5,120.14,-572.64,
ShortStraddle,2021-01-14,2021-01-13 09:20:00,2021-01-13 14:04:00,entry,stop_loss,"SELL:NIFTY_DHAN_14650CE@45.4,SELL:NIFTY_DHAN_14650PE@90.05",-3822.5,115.15,-3937.65,
ShortStraddle,2021-01-14,2021-01-14 09:20:00,2021-01-14 14:50:00,entry,target,"SELL:NIFTY_DHAN_14550CE@41.55,SELL:NIFTY_DHAN_14550PE@40.15",2050.0,104.2,1945.8,
ShortStraddle,2021-01-21,2021-01-15 09:20:00,2021-01-15 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14600CE@130.15,SELL:NIFTY_DHAN_14600PE@134.6",-1520.0,131.25,-1651.25,
ShortStraddle,2021-01-21,2021-01-18 09:20:00,2021-01-18 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14400CE@144.65,SELL:NIFTY_DHAN_14400PE@132.3",697.5,131.52,565.98,
ShortStraddle,2021-01-21,2021-01-19 09:20:00,2021-01-19 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14400CE@110.2,SELL:NIFTY_DHAN_14400PE@99.4",-57.5,122.86,-180.36,
ShortStraddle,2021-01-21,2021-01-20 09:20:00,2021-01-20 15:20:00,entry,time_exit,"SELL:NIFTY_DHAN_14550CE@76.6,SELL:NIFTY_DHAN_14550PE@67.85",1052.5,113.33,939.17,
