strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl,trade_count
ThreePMDirectional,2025-09-02,2025-08-29 15:16:00,2025-09-01 09:16:00,entry,stop_loss,BUY:NIFTY_DHAN_24550PE@147.15,-3602.5,59.62,-3662.12,
ThreePMDirectional,2025-09-02,2025-09-01 15:16:00,2025-09-02 09:16:00,entry,stop_loss,BUY:NIFTY_DHAN_24500PE@18.15,-587.5,48.43,-635.93,
ThreePMDirectional,2025-09-09,2025-09-03 15:16:00,2025-09-04 09:16:00,entry,target,BUY:NIFTY_DHAN_24600CE@195.6,6310.0,86.93,6223.07,
TOTAL,,,,,,,2120.0,194.98,1925.02,3
