strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ShortStraddle,2024-01-04,2024-01-04 09:20:00,2024-01-04 15:20:00,entry,time_exit,"SELL:NIFTY04JAN24CE21600@37.15,SELL:NIFTY04JAN24PE21600@41.5",1240.0,0.0,1240.0
ShortStraddle,2024-01-11,2024-01-11 09:20:00,2024-01-11 15:20:00,entry,time_exit,"SELL:NIFTY11JAN24CE21700@44.05,SELL:NIFTY11JAN24PE21700@35.9",1332.5,0.0,1332.5
ShortStraddle,2024-01-18,2024-01-18 09:20:00,2024-01-18 09:57:00,entry,stop_loss,"SELL:NIFTY18JAN24CE21450@55.6,SELL:NIFTY18JAN24PE21450@59.6",-3040.0,0.0,-3040.0
ShortStraddle,2024-01-25,2024-01-25 09:20:00,2024-01-25 15:12:00,entry,target,"SELL:NIFTY25JAN24CE21400@79.2,SELL:NIFTY25JAN24PE21400@56.2",3442.5,0.0,3442.5
