strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
IronCondor,2025-12-30,2025-12-30 09:20:00,2025-12-30 09:44:00,entry,stop_loss,"SELL:NIFTY30DEC25CE26000@9.6,BUY:NIFTY30DEC25CE26100@3.5,SELL:NIFTY30DEC25PE25800@8.95,BUY:NIFTY30DEC25PE25700@2.0",-352.5,192.58,-545.08
IronCondor,2026-01-06,2026-01-06 09:20:00,2026-01-06 10:44:00,entry,target,"SELL:NIFTY06JAN26CE26300@12.15,BUY:NIFTY06JAN26CE26400@2.95,SELL:NIFTY06JAN26PE26100@10.7,BUY:NIFTY06JAN26PE26000@3.3",397.5,192.02,205.48
IronCondor,2026-01-13,2026-01-13 09:20:00,2026-01-13 11:43:00,entry,target,"SELL:NIFTY13JAN26CE25900@29.7,BUY:NIFTY13JAN26CE26000@11.3,SELL:NIFTY13JAN26PE25700@22.1,BUY:NIFTY13JAN26PE25600@8.75",792.5,196.14,596.36
IronCondor,2026-01-20,2026-01-20 09:20:00,2026-01-20 09:38:00,entry,stop_loss,"SELL:NIFTY20JAN26CE25650@20.65,BUY:NIFTY20JAN26CE25750@7.15,SELL:NIFTY20JAN26PE25450@18.75,BUY:NIFTY20JAN26PE25350@5.45",-685.0,197.77,-882.77
IronCondor,2026-01-27,2026-01-27 09:20:00,2026-01-27 13:53:00,entry,target,"SELL:NIFTY27JAN26CE25100@65.25,BUY:NIFTY27JAN26CE25200@36.3,SELL:NIFTY27JAN26PE24900@57.75,BUY:NIFTY27JAN26PE24800@31.65",1340.0,206.26,1133.74
IronCondor,2026-02-03,2026-02-03 09:20:00,2026-02-03 12:56:00,entry,target,"SELL:NIFTY03FEB26CE25950@114.0,BUY:NIFTY03FEB26CE26050@87.55,SELL:NIFTY03FEB26PE25750@106.3,BUY:NIFTY03FEB26PE25650@67.65",1607.5,220.62,1386.88
IronCondor,2026-02-10,2026-02-10 09:20:00,2026-02-10 12:35:00,entry,target,"SELL:NIFTY10FEB26CE26000@17.8,BUY:NIFTY10FEB26CE26100@5.4,SELL:NIFTY10FEB26PE25800@14.95,BUY:NIFTY10FEB26PE25700@6.45",525.0,193.4,331.6
IronCondor,2026-02-17,2026-02-17 09:20:00,2026-02-17 10:27:00,entry,stop_loss,"SELL:NIFTY17FEB26CE25700@14.75,BUY:NIFTY17FEB26CE25800@6.0,SELL:NIFTY17FEB26PE25500@27.6,BUY:NIFTY17FEB26PE25400@10.75",-730.0,198.3,-928.3
IronCondor,2026-02-24,2026-02-24 09:20:00,2026-02-24 12:47:00,entry,stop_loss,"SELL:NIFTY24FEB26CE25650@32.4,BUY:NIFTY24FEB26CE25750@13.0,SELL:NIFTY24FEB26PE25450@22.35,BUY:NIFTY24FEB26PE25350@9.45",-810.0,199.89,-1009.89
IronCondor,2026-03-02,2026-03-02 09:20:00,2026-03-02 13:27:00,entry,stop_loss,"SELL:NIFTY02MAR26CE25050@57.6,BUY:NIFTY02MAR26CE25150@27.25,SELL:NIFTY02MAR26PE24850@89.3,BUY:NIFTY02MAR26PE24750@62.25",-1472.5,223.57,-1696.07
IronCondor,2026-03-10,2026-03-10 09:20:00,2026-03-10 14:22:00,entry,target,"SELL:NIFTY10MAR26C24250@53.05,BUY:NIFTY10MAR26C24350@27.1,SELL:NIFTY10MAR26P24050@47.2,BUY:NIFTY10MAR26P23950@25.6",1205.0,202.69,1002.31
IronCondor,2026-03-17,2026-03-17 09:20:00,2026-03-17 14:11:00,entry,stop_loss,"SELL:NIFTY17MAR26C23500@30.8,BUY:NIFTY17MAR26C23600@13.75,SELL:NIFTY17MAR26P23300@50.25,BUY:NIFTY17MAR26P23200@24.75",-1170.0,205.3,-1375.3
IronCondor,2026-03-24,2026-03-24 09:20:00,2026-03-24 14:39:00,entry,target,"SELL:NIFTY24MAR26C22900@58.65,BUY:NIFTY24MAR26C23000@32.8,SELL:NIFTY24MAR26P22700@78.55,BUY:NIFTY24MAR26P22600@47.2",1420.0,207.83,1212.17
IronCondor,2026-03-30,2026-03-30 09:20:00,2026-03-30 13:35:00,entry,target,"SELL:NIFTY30MAR26C22600@65.9,BUY:NIFTY30MAR26C22700@36.05,SELL:NIFTY30MAR26P22400@72.8,BUY:NIFTY30MAR26P22300@42.15",1532.5,208.6,1323.9
IronCondor,2026-04-07,2026-04-07 09:20:00,2026-04-07 13:33:00,entry,stop_loss,"SELL:NIFTY07APR26C22850@58.5,BUY:NIFTY07APR26C22950@31.55,SELL:NIFTY07APR26P22650@51.25,BUY:NIFTY07APR26P22550@25.45",-1707.5,219.16,-1926.66
IronCondor,2026-04-13,2026-04-13 09:20:00,2026-04-13 12:28:00,entry,stop_loss,"SELL:NIFTY13APR26C23700@36.95,BUY:NIFTY13APR26C23800@15.95,SELL:NIFTY13APR26P23500@51.65,BUY:NIFTY13APR26P23400@24.05",-1277.5,212.46,-1489.96
IronCondor,2026-04-21,2026-04-21 09:20:00,2026-04-21 13:44:00,entry,target,"SELL:NIFTY21APR26C24550@33.65,BUY:NIFTY21APR26C24650@12.55,SELL:NIFTY21APR26P24350@31.05,BUY:NIFTY21APR26P24250@14.0",1037.5,197.34,840.16
