date,day_open,day_high,day_low,day_close,bars,next_date,three_open,three_high,three_low,three_close,three_color,three_body_pct,three_range_pts,three_fifteen_open,three_fifteen_high,three_fifteen_low,three_fifteen_close,three_fifteen_color,late_2bar_color_combo,late_2bar_pct,gap_pts,gap_pct,gap_dir,next_day_open,next_day_high,next_day_low,next_day_close,next_intraday_pct,next_intraday_dir,next_total_pct,next_open_vs_three_close_pct,next_close_vs_three_close_pct,next_close_vs_three_close_dir,three_close_touched_next_day,first_touch_time,first_touch_bar,three_close_first_touch_period,after_touch_close_vs_touch_pct,is_main_candidate,period
2015-01-09,8285.45,8303.0,8191.1,8280.25,25,2015-01-12,8268.95,8296.35,8266.65,8285.7,bullish,0.202565017323844,29.700000000000728,8286.3,8288.05,8278.05,8280.25,bearish,bullish_bearish,0.1366558027318979,11.100000000000364,0.13405392349265258,gap_up,8291.35,8332.25,8245.6,8326.55,0.4245388266084402,up_day,0.5591618610549111,0.06818977274098309,0.49301809141048486,above,True,2015-01-12 09:15:00,1,opening_5,0.737393534649619,True,2015-2018
2015-01-12,8291.35,8332.25,8245.6,8326.55,25,2015-01-13,8305.8,8323.6,8305.8,8319.95,bullish,0.17036287895207514,17.80000000000109,8319.55,8332.25,8318.6,8326.55,bullish,bullish_bullish,0.24982542319824702,19.600000000000364,0.2353916087695428,gap_up,8346.15,8356.65,8268.15,8303.8,-0.5074195886726258,down_day,-0.2732224030360714,0.31490573861620447,-0.19411174346001422,below,True,2015-01-13 14:15:00,21,closing_hour,-0.17131419022487243,False,2015-2018
2015-01-13,8346.15,8356.65,8268.15,8303.8,25,2015-01-14,8281.0,8305.4,8274.75,8304.8,bullish,0.28740490278950936,30.649999999999636,8304.9,8309.3,8296.2,8303.8,bearish,bullish_bearish,0.27532906653784894,3.4500000000007276,0.041547243430727236,gap_up,8307.25,8326.3,8236.75,8287.75,-0.23473471967257517,down_day,-0.19328500204724675,0.029501011463258935,-0.20530295732587509,below,True,2015-01-14 09:15:00,1,opening_5,-0.15601093883649242,True,2015-2018
2015-01-14,8307.25,8326.3,8236.75,8287.75,25,2015-01-15,8263.85,8281.0,8262.3,8272.8,bullish,0.10830303066971096,18.700000000000728,8273.05,8290.25,8269.0,8287.75,bullish,bullish_bullish,0.2892114450286445,137.45000000000073,1.6584718409701154,gap_up,8425.2,8526.9,8380.75,8461.15,0.4266961021696684,up_day,2.0922445778407845,1.8421816071946797,2.2767382264771348,above,False,,,not_touched,,False,2015-2018
2015-01-15,8425.2,8526.9,8380.75,8461.15,25,2015-01-19,8516.5,8516.5,8497.8,8510.75,bearish,-0.06751599835613221,18.700000000000728,8510.45,8511.0,8459.35,8461.15,bearish,bearish_bearish,-0.6499148711325118,92.25,1.090277326368165,gap_up,8553.4,8570.8,8531.7,8550.3,-0.036242897561207986,down_day,1.0536392807124284,0.5011309226566358,0.4647064007284819,above,False,,,not_touched,,False,2015-2018
2015-01-19,8553.4,8570.8,8531.7,8550.3,25,2015-01-20,8551.7,8557.45,8546.25,8551.45,bearish,-0.0029233953482933218,11.200000000000728,8550.85,8552.9,8546.4,8550.3,bearish,bearish_bearish,-0.016371013950459617,24.80000000000109,0.290048302398759,gap_up,8575.1,8707.75,8574.65,8691.25,1.354503154482159,up_day,1.6484801702864311,0.27656128492828275,1.634810470738872,above,False,,,not_touched,,False,2015-2018
2015-01-20,8575.1,8707.75,8574.65,8691.25,25,2015-01-21,8692.9,8707.75,8689.15,8689.85,bearish,-0.035086104752145686,18.600000000000364,8689.9,8696.9,8687.1,8691.25,bullish,bearish_bullish,-0.018981007488866043,28.399999999999636,0.3267654249964002,gap_up,8719.65,8741.5,8689.7,8728.05,0.0963341418520197,up_day,0.42341435351645934,0.3429288192546393,0.4395933186418512,above,True,2015-01-21 11:00:00,8,midday,0.2705497156643032,False,2015-2018
2015-01-21,8719.65,8741.5,8689.7,8728.05,25,2015-01-22,8723.15,8733.7,8723.15,8730.7,bullish,0.08655130314165287,10.550000000001091,8731.3,8734.8,8723.6,8728.05,bearish,bullish_bearish,0.05617236892635844,17.80000000000109,0.2039401699119631,gap_up,8745.85,8774.0,8727.15,8762.2,0.18694580858350374,up_day,0.3912672360951353,0.17352560504884643,0.3607958124778082,above,True,2015-01-22 14:00:00,20,afternoon,0.3073717710223444,True,2015-2018
2015-01-22,8745.85,8774.0,8727.15,8762.2,25,2015-01-23,8735.65,8761.2,8735.65,8760.3,bullish,0.28217705608626303,25.55000000000109,8759.95,8774.0,8759.95,8762.2,bullish,bullish_bullish,0.3039270117278175,65.75,0.7503823240738626,gap_up,8827.95,8866.15,8795.6,8823.55,-0.04984169597699868,down_day,0.700166624820234,0.7722338276086602,0.7220072371950732,above,False,,,not_touched,,False,2015-2018
2015-01-23,8827.95,8866.15,8795.6,8823.55,25,2015-01-27,8827.45,8849.6,8827.4,8834.85,bullish,0.08382941846172605,22.200000000000728,8834.9,8837.05,8822.35,8823.55,bearish,bullish_bearish,-0.044180369189306706,47.80000000000109,0.5417320692918507,gap_up,8871.35,8924.95,8825.55,8904.2,0.37029313464129315,up_day,0.9140312005938819,0.41313661239296645,0.7849595635466404,above,True,2015-01-27 09:15:00,1,opening_5,0.6203880532923673,True,2015-2018
