file,schema,nifty_option_rows,no_trade_rows,active_rows,true_bad_ohlc,duplicates,error
20080729.csv,legacy,700,544,156,0,0,
20080730.csv,legacy,700,553,147,0,0,
20080731.csv,legacy,700,546,154,0,0,
20080801.csv,legacy,644,526,118,0,0,
20080804.csv,legacy,646,533,113,0,0,
20080805.csv,legacy,646,518,128,0,0,
20080806.csv,legacy,650,515,135,0,0,
20080807.csv,legacy,650,530,120,0,0,
20080808.csv,legacy,650,528,122,0,0,
20080811.csv,legacy,654,545,109,0,0,
20080812.csv,legacy,658,531,127,0,0,
20080813.csv,legacy,658,542,116,0,0,
20080814.csv,legacy,658,539,119,0,0,
20080818.csv,legacy,658,545,113,0,0,
20080819.csv,legacy,658,527,131,0,0,
20080820.csv,legacy,658,533,125,0,0,
20080821.csv,legacy,658,519,139,0,0,
20080822.csv,legacy,660,505,155,0,0,
20080825.csv,legacy,660,518,142,0,0,
20080826.csv,legacy,660,527,133,0,0,
20080827.csv,legacy,660,514,146,0,0,
20080828.csv,legacy,660,505,155,0,0,
20080829.csv,legacy,624,509,115,0,0,
20080901.csv,legacy,630,518,112,0,0,
20080902.csv,legacy,630,500,130,0,0,
20080904.csv,legacy,636,526,110,0,0,
20080905.csv,legacy,636,523,113,0,0,
20080908.csv,legacy,636,516,120,0,0,
20080909.csv,legacy,636,529,107,0,0,
20080910.csv,legacy,636,509,127,0,0,
20080911.csv,legacy,636,504,132,0,0,
20080912.csv,legacy,636,507,129,0,0,
20080915.csv,legacy,636,484,152,0,0,
20080916.csv,legacy,648,508,140,0,0,
20080917.csv,legacy,648,514,134,0,0,
20080918.csv,legacy,652,505,147,0,0,
20080919.csv,legacy,652,499,153,0,0,
20080922.csv,legacy,652,508,144,0,0,
20080923.csv,legacy,652,498,154,0,0,
20080924.csv,legacy,652,495,157,0,0,
20080925.csv,legacy,652,501,151,0,0,
20080926.csv,legacy,602,486,116,0,0,
20080929.csv,legacy,602,485,117,0,0,
20080930.csv,legacy,616,492,124,0,0,
20081001.csv,legacy,616,494,122,0,0,
20081003.csv,legacy,616,490,126,0,0,
20081006.csv,legacy,622,486,136,0,0,
20081007.csv,legacy,686,543,143,0,0,
20081008.csv,legacy,686,544,142,0,0,
20081010.csv,legacy,720,563,157,0,0,
20081013.csv,legacy,788,629,159,0,0,
20081014.csv,legacy,788,625,163,0,0,
20081015.csv,legacy,788,621,167,0,0,
20081016.csv,legacy,788,612,176,0,0,
20081017.csv,legacy,800,633,167,0,0,
20081020.csv,legacy,868,677,191,0,0,
20081021.csv,legacy,868,680,188,0,0,
20081022.csv,legacy,868,670,198,0,0,
20081023.csv,legacy,868,664,204,0,0,
20081024.csv,legacy,912,693,219,0,0,
20081027.csv,legacy,1026,776,250,0,0,
20081028.csv,legacy,1060,863,197,0,0,
20081029.csv,legacy,1060,815,245,0,0,
20081031.csv,legacy,974,807,167,0,0,
20081103.csv,legacy,982,820,162,0,0,
20081104.csv,legacy,988,813,175,0,0,
20081105.csv,legacy,992,834,158,0,0,
20081106.csv,legacy,992,819,173,0,0,
20081107.csv,legacy,992,837,155,0,0,
20081110.csv,legacy,992,826,166,0,0,
20081111.csv,legacy,992,832,160,0,0,
20081112.csv,legacy,992,827,165,0,0,
20081114.csv,legacy,992,842,150,0,0,
20081117.csv,legacy,992,833,159,0,0,
20081118.csv,legacy,992,826,166,0,0,
20081119.csv,legacy,992,822,170,0,0,
20081120.csv,legacy,994,831,163,0,0,
20081121.csv,legacy,998,816,182,0,0,
20081124.csv,legacy,998,823,175,0,0,
20081125.csv,legacy,998,812,186,0,0,
20081126.csv,legacy,998,798,200,0,0,
20081128.csv,legacy,998,797,201,0,0,
20081201.csv,legacy,916,784,132,0,0,
20081202.csv,legacy,918,796,122,0,0,
20081203.csv,legacy,920,810,110,0,0,
20081204.csv,legacy,920,775,145,0,0,
20081205.csv,legacy,922,777,145,0,0,
20081208.csv,legacy,922,782,140,0,0,
20081210.csv,legacy,922,787,135,0,0,
20081211.csv,legacy,928,811,117,0,0,
20081212.csv,legacy,928,806,122,0,0,
20081215.csv,legacy,928,798,130,0,0,
20081216.csv,legacy,930,762,168,0,0,
20081217.csv,legacy,932,775,157,0,0,
20081218.csv,legacy,932,777,155,0,0,
20081219.csv,legacy,932,777,155,0,0,
20081222.csv,legacy,934,780,154,0,0,
20081223.csv,legacy,934,779,155,0,0,
20081224.csv,legacy,934,770,164,0,0,
20081226.csv,legacy,828,735,93,0,0,
20081229.csv,legacy,830,659,171,0,0,
20081230.csv,legacy,830,711,119,0,0,
20081231.csv,legacy,834,729,105,0,0,
20090101.csv,legacy,834,736,98,0,0,
20090102.csv,legacy,836,742,94,0,0,
20090105.csv,legacy,836,740,96,0,0,
20090106.csv,legacy,838,735,103,0,0,
20090107.csv,legacy,838,742,96,0,0,
20090109.csv,legacy,838,739,99,0,0,
20090112.csv,legacy,838,730,108,0,0,
20090113.csv,legacy,842,737,105,0,0,
20090114.csv,legacy,844,737,107,0,0,
20090115.csv,legacy,844,734,110,0,0,
20090116.csv,legacy,844,736,108,0,0,
20090119.csv,legacy,844,734,110,0,0,
20090120.csv,legacy,844,740,104,0,0,
20090121.csv,legacy,844,730,114,0,0,
20090122.csv,legacy,844,736,108,0,0,
20090123.csv,legacy,844,726,118,0,0,
20090127.csv,legacy,844,727,117,0,0,
20090128.csv,legacy,844,718,126,0,0,
20090129.csv,legacy,844,712,132,0,0,
20090130.csv,legacy,820,721,99,0,0,
20090202.csv,legacy,822,724,98,0,0,
20090203.csv,legacy,824,735,89,0,0,
20090204.csv,legacy,824,736,88,0,0,
20090205.csv,legacy,824,730,94,0,0,
20090206.csv,legacy,824,718,106,0,0,
20090209.csv,legacy,824,714,110,0,0,
20090210.csv,legacy,826,719,107,0,0,
20090211.csv,legacy,828,719,109,0,0,
20090212.csv,legacy,828,727,101,0,0,
20090213.csv,legacy,828,725,103,0,0,
20090216.csv,legacy,828,716,112,0,0,
20090217.csv,legacy,828,710,118,0,0,
20090218.csv,legacy,828,709,119,0,0,
20090219.csv,legacy,828,717,111,0,0,
20090220.csv,legacy,828,713,115,0,0,
20090224.csv,legacy,828,705,123,0,0,
20090225.csv,legacy,828,704,124,0,0,
20090226.csv,legacy,828,701,127,0,0,
20090227.csv,legacy,834,713,121,0,0,
20090302.csv,legacy,834,711,123,0,0,
20090303.csv,legacy,846,729,117,0,0,
20090304.csv,legacy,868,747,121,0,0,
20090305.csv,legacy,868,738,130,0,0,
20090306.csv,legacy,868,733,135,0,0,
20090309.csv,legacy,868,731,137,0,0,
20090312.csv,legacy,868,735,133,0,0,
20090313.csv,legacy,868,733,135,0,0,
20090316.csv,legacy,868,726,142,0,0,
20090317.csv,legacy,868,711,157,0,0,
20090318.csv,legacy,868,726,142,0,0,
20090319.csv,legacy,868,732,136,0,0,
20090320.csv,legacy,868,731,137,0,0,
20090323.csv,legacy,868,694,174,0,0,
20090324.csv,legacy,872,705,167,0,0,
20090325.csv,legacy,872,713,159,0,0,
20090326.csv,legacy,878,695,183,0,0,
20090327.csv,legacy,766,599,167,0,0,
20090330.csv,legacy,766,625,141,0,0,
20090331.csv,legacy,768,641,127,0,0,
20090401.csv,legacy,768,656,112,0,0,
20090402.csv,legacy,768,628,140,0,0,
20090406.csv,legacy,776,641,135,0,0,
20090408.csv,legacy,784,645,139,0,0,
20090409.csv,legacy,784,634,150,0,0,
20090413.csv,legacy,784,654,130,0,0,
20090415.csv,legacy,792,636,156,0,0,
20090416.csv,legacy,800,645,155,0,0,
20090417.csv,legacy,800,655,145,0,0,
20090420.csv,legacy,800,659,141,0,0,
20090421.csv,legacy,800,664,136,0,0,
20090422.csv,legacy,800,661,139,0,0,
20090423.csv,legacy,800,664,136,0,0,
20090424.csv,legacy,800,660,140,0,0,
20090427.csv,legacy,800,660,140,0,0,
20090428.csv,legacy,800,648,152,0,0,
20090429.csv,legacy,800,639,161,0,0,
20090504.csv,legacy,768,650,118,0,0,
20090505.csv,legacy,784,666,118,0,0,
20090506.csv,legacy,784,661,123,0,0,
20090507.csv,legacy,784,673,111,0,0,
20090508.csv,legacy,784,670,114,0,0,
20090511.csv,legacy,784,663,121,0,0,
20090512.csv,legacy,784,659,125,0,0,
20090513.csv,legacy,784,657,127,0,0,
20090514.csv,legacy,784,668,116,0,0,
20090515.csv,legacy,784,668,116,0,0,
20090518.csv,legacy,784,725,59,0,0,
20090519.csv,legacy,840,661,179,0,0,
20090520.csv,legacy,840,671,169,0,0,
20090521.csv,legacy,840,660,180,0,0,
20090522.csv,legacy,840,679,161,0,0,
20090525.csv,legacy,840,658,182,0,0,
20090526.csv,legacy,840,623,217,0,0,
20090527.csv,legacy,840,656,184,0,0,
20090528.csv,legacy,840,654,186,0,0,
20090529.csv,legacy,806,615,191,0,0,
20090601.csv,legacy,816,678,138,0,0,
20090602.csv,legacy,826,642,184,0,0,
20090603.csv,legacy,826,638,188,0,0,
20090604.csv,legacy,826,687,139,0,0,
20090605.csv,legacy,838,650,188,0,0,
20090608.csv,legacy,838,648,190,0,0,
20090609.csv,legacy,838,648,190,0,0,
20090610.csv,legacy,838,652,186,0,0,
20090611.csv,legacy,850,664,186,0,0,
20090612.csv,legacy,850,657,193,0,0,
20090615.csv,legacy,850,659,191,0,0,
20090616.csv,legacy,850,658,192,0,0,
20090617.csv,legacy,850,655,195,0,0,
20090618.csv,legacy,850,650,200,0,0,
20090619.csv,legacy,850,634,216,0,0,
20090622.csv,legacy,850,636,214,0,0,
20090623.csv,legacy,852,645,207,0,0,
20090624.csv,legacy,852,642,210,0,0,
20090625.csv,legacy,852,642,210,0,0,
20090626.csv,legacy,746,644,102,0,0,
20090629.csv,legacy,750,601,149,0,0,
20090630.csv,legacy,750,600,150,0,0,
20090701.csv,legacy,750,603,147,0,0,
20090702.csv,legacy,750,606,144,0,0,
20090703.csv,legacy,750,594,156,0,0,
20090706.csv,legacy,750,593,157,0,0,
20090707.csv,legacy,750,600,150,0,0,
20090708.csv,legacy,750,592,158,0,0,
20090709.csv,legacy,754,602,152,0,0,
20090710.csv,legacy,754,582,172,0,0,
20090713.csv,legacy,758,591,167,0,0,
20090714.csv,legacy,758,596,162,0,0,
20090715.csv,legacy,758,595,163,0,0,
20090716.csv,legacy,758,593,165,0,0,
20090717.csv,legacy,758,578,180,0,0,
20090720.csv,legacy,758,582,176,0,0,
20090721.csv,legacy,760,588,172,0,0,
20090722.csv,legacy,760,635,125,0,0,
20090723.csv,legacy,760,586,174,0,0,
20090724.csv,legacy,760,578,182,0,0,
20090727.csv,legacy,762,590,172,0,0,
20090728.csv,legacy,762,580,182,0,0,
20090729.csv,legacy,762,573,189,0,0,
20090730.csv,legacy,762,566,196,0,0,
20090731.csv,legacy,738,585,153,0,0,
20090803.csv,legacy,738,584,154,0,0,
20090804.csv,legacy,742,584,158,0,0,
20090805.csv,legacy,742,591,151,0,0,
20090806.csv,legacy,742,587,155,0,0,
20090807.csv,legacy,742,584,158,0,0,
20090810.csv,legacy,744,579,165,0,0,
20090811.csv,legacy,746,584,162,0,0,
20090812.csv,legacy,746,580,166,0,0,
20090813.csv,legacy,746,576,170,0,0,
20090814.csv,legacy,746,580,166,0,0,
20090817.csv,legacy,746,620,126,0,0,
20090818.csv,legacy,746,586,160,0,0,
20090819.csv,legacy,746,577,169,0,0,
20090820.csv,legacy,746,571,175,0,0,
20090821.csv,legacy,746,570,176,0,0,
20090824.csv,legacy,746,567,179,0,0,
20090825.csv,legacy,746,553,193,0,0,
20090826.csv,legacy,746,561,185,0,0,
20090827.csv,legacy,746,556,190,0,0,
20090828.csv,legacy,732,574,158,0,0,
20090831.csv,legacy,732,568,164,0,0,
20090901.csv,legacy,732,560,172,0,0,
20090902.csv,legacy,734,570,164,0,0,
20090903.csv,legacy,734,576,158,0,0,
20090904.csv,legacy,734,560,174,0,0,
20090907.csv,legacy,734,568,166,0,0,
20090908.csv,legacy,748,575,173,0,0,
20090909.csv,legacy,748,576,172,0,0,
20090910.csv,legacy,748,579,169,0,0,
20090911.csv,legacy,748,578,170,0,0,
20090914.csv,legacy,748,574,174,0,0,
